t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
5.900000000000000355e+00,4.442829975925637598e+01,3.563054101733025725e+00,-2.411964554310032760e+00,1.742918600709019756e+02,1.248821982651133844e+01,-6.401384091598884218e+00,3.272492347489367598e-02,-1.304157047579697359e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.446253482697777599e+03,5.598388540663039748e+03,-1.767491813521909066e-02,2.959471837469035416e-01,2.070601894011829813e+00
5.910000000000000142e+00,4.434774741757164662e+01,4.655354962949017406e+00,-2.459225702245554590e+00,1.747372448387952772e+02,1.247121024298754222e+01,-6.425503737141984750e+00,3.272492347489367598e-02,-1.327787621547458219e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.142868501605153142e+02,5.574501159090736110e+03,5.686178842627689911e-03,3.241084304357129131e-01,4.226189599024607446e+00
5.919999999999999929e+00,4.423800412948846628e+01,5.788228061799124191e+00,-2.490681992643419829e+00,1.751828417582580926e+02,1.245439095496355719e+01,-6.450095994164440683e+00,3.272492347489367598e-02,-1.343515766746390949e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.935307160924999607e+03,5.551749358197223955e+03,3.047146135392764937e-02,3.517848300912848059e-01,6.289946220451312797e+00
5.929999999999999716e+00,4.409793700709585806e+01,6.952955526761659399e+00,-2.507013634700061555e+00,1.756286902952837181e+02,1.243797323960124857e+01,-6.475002814090874637e+00,3.272492347489367598e-02,-1.351681587774711812e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.949845913414951610e+03,5.530368526934737929e+03,5.648716399766367385e-02,3.788592858726177459e-01,7.617723055341087957e+00
5.940000000000000391e+00,4.392729601087004454e+01,8.134674050704408188e+00,-2.513541180767664862e+00,1.760748371714629457e+02,1.242215778009451554e+01,-6.500072950437875363e+00,3.272492347489367598e-02,-1.354945360808513521e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.933568817068696262e+03,5.510232249832784873e+03,8.327236544960414655e-02,4.054755767542276290e-01,8.259723694447345110e+00
5.950000000000000178e+00,4.372627738857612911e+01,9.321401962479811232e+00,-2.515220135462465034e+00,1.765213239190742627e+02,1.240707103487726215e+01,-6.525208362245551896e+00,3.272492347489367598e-02,-1.355784838155913719e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.350888312406851583e+03,5.491146701250262595e+03,1.104387872274994742e-01,4.318094080655029421e-01,8.525139126006351376e+00
5.959999999999999964e+00,4.349516819838964921e+01,1.050646548710551187e+01,-2.514775602458986903e+00,1.769681830579073960e+02,1.239277079284437555e+01,-6.550360563600176711e+00,3.272492347489367598e-02,-1.355562571654174431e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.512135320010467694e+03,5.472965452833748714e+03,1.377773560642060746e-01,4.579629556860513873e-01,8.620580932654235085e+00
5.969999999999999751e+00,4.323424639768639111e+01,1.168647717453365686e+01,-2.513442311251241623e+00,1.774154407772256263e+02,1.237927709527662934e+01,-6.575508319624766784e+00,3.272492347489367598e-02,-1.354895926050301846e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.562662262850218212e+03,5.455582071970176912e+03,1.651931624914797780e-01,4.839835724281273399e-01,8.642797677374275622e+00
5.980000000000000426e+00,4.294377668059848929e+01,1.285957299321746561e+01,-2.511756702023892895e+00,1.778631197790549550e+02,1.236659276030116850e+01,-6.600642742737279356e+00,3.272492347489367598e-02,-1.354053121436627483e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.565080688980635387e+03,5.438911658961055764e+03,1.926443953877609305e-01,5.098925211348500630e-01,8.633438607991053004e+00
5.990000000000000213e+00,4.262402007175127494e+01,1.402455056817448309e+01,-2.509954173860187598e+00,1.783112408872440824e+02,1.235471295763278121e+01,-6.625760309757517952e+00,3.272492347489367598e-02,-1.353151857354774890e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.546523003447370684e+03,5.422881892961714584e+03,2.201121669069159570e-01,5.356998635608167803e-01,8.610528717690627332e+00
6.000000000000000000e+00,4.227524125057703941e+01,1.518049922620931547e+01,-2.508139445544177448e+00,1.787598238378117799e+02,1.234362931961943310e+01,-6.650859851496119468e+00,3.272492347489367598e-02,-1.352244493196769759e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.519106018049463273e+03,5.407429452392093481e+03,2.475875484311064467e-01,5.614108326508120417e-01,8.582097167260556603e+00
6.009999999999999787e+00,4.189771297473208023e+01,1.632664219938660821e+01,-2.506358680171245190e+00,1.792088876610681609e+02,1.233333171807784012e+01,-6.675941245951561243e+00,3.272492347489367598e-02,-1.351354110510303574e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.488397316540853353e+03,5.392498414576726645e+03,2.750660485847645220e-01,5.870285010057860742e-01,8.551815643334919059e+00
6.020000000000000462e+00,4.149171868145432285e+01,1.746226732175538743e+01,-2.504630965477101512e+00,1.796584508698866216e+02,1.232380905674647309e+01,-6.701004832753273632e+00,3.272492347489367598e-02,-1.350490253163231791e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.456993048840637130e+03,5.378039300057172113e+03,3.025451884831690252e-01,6.125549322447345624e-01,8.521380860383061417e+00
6.030000000000000249e+00,4.105755404196651881e+01,1.858669556456356986e+01,-2.502962616345393965e+00,1.801085315542824787e+02,1.231504963613274306e+01,-6.726051142408044470e+00,3.272492347489367598e-02,-1.349656078597377962e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.426091573300112941e+03,5.364008328974070537e+03,3.300233966047994016e-01,6.379917003781802043e-01,8.491562247122089957e+00
6.040000000000000036e+00,4.059552790598743144e+01,1.969926641589102090e+01,-2.501353919748020793e+00,1.805591474290034739e+02,1.230704132536849826e+01,-6.751080768571497970e+00,3.272492347489367598e-02,-1.348851730298691598e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.396215414171681005e+03,5.350366766328791527e+03,3.574994890422697469e-01,6.633401351603552820e-01,8.462682394541701569e+00
6.049999999999999822e+00,4.010596287573957142e+01,2.079933106835525791e+01,-2.499802410392133023e+00,1.810103158566012951e+02,1.229977164395096878e+01,-6.776094307768977920e+00,3.272492347489367598e-02,-1.348075975620747491e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.367555346027750602e+03,5.337080327485508860e+03,3.849724203880163231e-01,6.886014431276165082e-01,8.434845849583169297e+00
6.060000000000000497e+00,3.958919564374842537e+01,2.188624935352980216e+01,-2.498304491104309744e+00,1.814620538572385158e+02,1.229322780039999863e+01,-6.801092331872899521e+00,3.272492347489367598e-02,-1.347327015976835796e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.340139630614012276e+03,5.324118639941554648e+03,4.124411643743293721e-01,7.137767696873454915e-01,8.408051484375135942e+00
