t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
4.620000000000000107e+00,-9.739980405113332296e+00,-3.594691913379940473e+01,-1.683483094419395476e+00,1.212297419911861880e+02,1.003396618966822196e+01,-4.377086827785839240e+00,0.000000000000000000e+00,-8.417415472096978490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623334733701086407e+03,-5.000072681634456785e+03,-1.557627791059335909e+00,-1.471587224260185289e+00,-7.737136262221007144e+00
4.629999999999999893e+00,-9.137622632277036416e+00,-3.618826141994146184e+01,-1.683387935319526019e+00,1.216012425217521269e+02,1.006027544924761230e+01,-4.393921658730032931e+00,0.000000000000000000e+00,-8.416939676597630371e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623293106659442856e+03,-5.000029500764344448e+03,-1.557710921028375717e+00,-1.471700366566191187e+00,-7.737081158919773216e+00
4.639999999999999680e+00,-8.531236157036925505e+00,-3.641945386849743471e+01,-1.683292838988482032e+00,1.219735393177916336e+02,1.008680348829141593e+01,-4.410755538083228622e+00,0.000000000000000000e+00,-8.416464194942410715e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623253721533995304e+03,-4.999988615962904987e+03,-1.557789574995034343e+00,-1.471807495020019729e+00,-7.737029074545768381e+00
4.650000000000000355e+00,-7.920992268727821362e+00,-3.664042984655149127e+01,-1.683197801554023432e+00,1.223466360052773325e+02,1.011353778895308331e+01,-4.427588466473113549e+00,0.000000000000000000e+00,-8.415989007770117991e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623216518194040873e+03,-4.999949956120231946e+03,-1.557863872855393961e+00,-1.471908795576746476e+00,-7.736979921829307827e+00
4.660000000000000142e+00,-7.307063350228910181e+00,-3.685112561349827587e+01,-1.683102819308235354e+00,1.227205359990617666e+02,1.014046577502941737e+01,-4.444420444488653921e+00,0.000000000000000000e+00,-8.415514096541176770e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623181440610134814e+03,-4.999913455239528048e+03,-1.557933926331734220e+00,-1.472004440828170058e+00,-7.736933619629148495e+00
4.669999999999999929e+00,-6.689622829043504915e+00,-3.705148033895090975e+01,-1.683007888694629139e+00,1.230952425019443126e+02,1.016757481551661968e+01,-4.461251472681736274e+00,0.000000000000000000e+00,-8.415039443473146252e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623148436637050509e+03,-4.999879052128772855e+03,-1.557999839404581532e+00,-1.472094590807504932e+00,-7.736890092583168510e+00
4.679999999999999716e+00,-6.068845128090492480e+00,-3.724143611981345714e+01,-1.682913006296165692e+00,1.234707585037985211e+02,1.019485222818142134e+01,-4.478081551568682706e+00,0.000000000000000000e+00,-8.414565031480829294e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623117457815305897e+03,-4.999846690120639323e+03,-1.558061708707803472e+00,-1.472179393720388196e+00,-7.736849270790179034e+00
4.690000000000000391e+00,-5.444905616221639377e+00,-3.742093799651396324e+01,-1.682818168824111504e+00,1.238470867807599944e+02,1.022228528314623652e+01,-4.494910681631644422e+00,0.000000000000000000e+00,-8.414090844120558632e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623088459189816604e+03,-4.999816316818191808e+03,-1.558119623889671290e+00,-1.472258986608740550e+00,-7.736811089520221785e+00
4.700000000000000178e+00,-4.817980558478971886e+00,-3.758993396839426993e+01,-1.682723373107643416e+00,1.242242298944751155e+02,1.024986120648728338e+01,-4.511738863319885162e+00,0.000000000000000000e+00,-8.413616865538217637e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623061399144308780e+03,-4.999787883864037212e+03,-1.558173667942500451e+00,-1.472333495953280780e+00,-7.736775488951010971e+00
4.709999999999999964e+00,-4.188247066106522531e+00,-3.774837500825308467e+01,-1.682628616084129947e+00,1.246021901914107701e+02,1.027756718384459944e+01,-4.528566097050961581e+00,0.000000000000000000e+00,-8.413143080420650011e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623036239250358449e+03,-4.999761346731082995e+03,-1.558223917503213096e+00,-1.472403038219838756e+00,-7.736742413928404893e+00
