t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
7.429999999999999716e+00,-1.327739615906939896e+01,5.350817042710007598e+01,4.739720875457541227e-02,2.554717036381138939e+02,-8.284569751391545367e+01,-2.596353704790590466e+00,3.272492347489367598e-02,-7.447616604739330445e-03,5.413534347961213825e+03,4.066817302495734566e+03,5.564857924516517414e+03,4.167814027904440081e+03,1.528737229151226451e+00,1.568886586893285973e+00,6.584276621927140916e+00
7.440000000000000391e+00,-1.318985942425456237e+01,5.358030630849403053e+01,4.846500144018158623e-02,2.558627311871026393e+02,-8.323433463393089937e+01,-2.595879732703044507e+00,3.272492347489367598e-02,-7.394226970459022441e-03,5.413537184005558629e+03,4.066810500849038363e+03,5.564855448361371600e+03,4.167819984492060939e+03,1.528750004489273673e+00,1.568845513931854674e+00,6.584424885836837049e+00
7.450000000000000178e+00,-1.310171787073743666e+01,5.365254302291231880e+01,4.953134411344462668e-02,2.562535690736504534e+02,-8.362385730081078350e+01,-2.595395082688642496e+00,3.272492347489367598e-02,-7.340909836795870072e-03,5.413540016104789174e+03,4.066803708785119397e+03,5.564852975648323991e+03,4.167825932669064059e+03,1.528762762078377024e+00,1.568804499059594404e+00,6.584572939919031143e+00
7.459999999999999964e+00,-1.301297068406349844e+01,5.372487820927483426e+01,5.059623882579371984e-02,2.566442177494230918e+02,-8.401426561337095222e+01,-2.594899769247508203e+00,3.272492347489367598e-02,-7.287665101178415067e-03,5.413542844168931879e+03,4.066796926216785778e+03,5.564850506455931281e+03,4.167831872511886104e+03,1.528775501513176538e+00,1.568763541749031099e+00,6.584720784589178422e+00
7.469999999999999751e+00,-1.292361704979104431e+01,5.379730949084636649e+01,5.165968762551606530e-02,2.570346776755924338e+02,-8.440555967225560607e+01,-2.594393806859250251e+00,3.272492347489367598e-02,-7.234492661192298314e-03,5.413545668108453356e+03,4.066790153057167572e+03,5.564848040862380913e+03,4.167837804096679065e+03,1.528788222390257356e+00,1.568722641474699087e+00,6.584868420261758004e+00
7.480000000000000426e+00,-1.283365615360422751e+01,5.386983447524682589e+01,5.272169255776225361e-02,2.574249493228263646e+02,-8.479773957992004796e+01,-2.593877209982994980e+00,3.272492347489367598e-02,-7.181392414579988379e-03,5.413548487834254047e+03,4.066783389219735000e+03,5.564845578945471061e+03,4.167843727499299348e+03,1.528800924308153952e+00,1.568681797713152193e+00,6.585015847350265794e+00
7.490000000000000213e+00,-1.274308718142656183e+01,5.394245075446155369e+01,5.378225566455160228e-02,2.578150331712789125e+02,-8.519080544061311855e+01,-2.593349993057417535e+00,3.272492347489367598e-02,-7.128364259240521292e-03,5.413551303257673680e+03,4.066776634618286607e+03,5.564843120782631559e+03,4.167849642795312320e+03,1.528813606867357233e+00,1.568641009942969511e+00,6.585163066267212706e+00
7.500000000000000000e+00,-1.265190931953489795e+01,5.401515590485169582e+01,5.484137898477753348e-02,2.582049297105804726e+02,-8.558475736035937587e+01,-2.592812170500772062e+00,3.272492347489367598e-02,-7.075408093229224732e-03,5.413554114290474899e+03,4.066769889166957000e+03,5.564840666450904791e+03,4.167855550059988673e+03,1.528826269670318538e+00,1.568600277644764285e+00,6.585310077424121999e+00
7.509999999999999787e+00,-1.256012175467386527e+01,5.408794748716467637e+01,5.589906455421293774e-02,2.585946394398278585e+02,-8.597959544694100487e+01,-2.592263756710924127e+00,3.272492347489367598e-02,-7.022523814757455213e-03,5.413556920844866909e+03,4.066763152780218206e+03,5.564838216026956616e+03,4.167861449368301692e+03,1.528838912321454524e+00,1.568559600301189239e+00,6.585456881231537274e+00
7.520000000000000462e+00,-1.246772367417078087e+01,5.416082304654472779e+01,5.695531440551551000e-02,2.589841628675746392e+02,-8.637531980987947122e+01,-2.591704766065381804e+00,3.272492347489367598e-02,-6.969711322192326600e-03,5.413559722833498199e+03,4.066756425372875128e+03,5.564835769587064533e+03,4.167867340794932716e+03,1.528851534427151160e+00,1.568518977396943237e+00,6.585603478099015362e+00
