t,df,dr_track,r_cmd,r_track,beta_track,ay_track,r_ratio,beta_ratio,ay_ratio
2.180000000000000160e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713838521867459e+00,4.885349957284007005e-01,-5.247426839832566969e+01,2.623713868234464619e-01,6.146496855380478679e-03,5.247427721853940241e+00
2.189999999999999947e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713852179616612e+00,4.885349993263710666e-01,-5.247426929630647408e+01,2.623713868035588703e-01,6.146496849250352758e-03,5.247427723345484907e+00
2.200000000000000178e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713863099251142e+00,4.885350026498926357e-01,-5.247427012428060777e+01,2.623713867844380543e-01,6.146496843918895260e-03,5.247427724641079649e+00
2.209999999999999964e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713871703134970e+00,4.885350057068871266e-01,-5.247427088457438060e+01,2.623713867662137433e-01,6.146496839296046281e-03,5.247427725763010642e+00
2.220000000000000195e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713878358228335e+00,4.885350085076814453e-01,-5.247427158005685754e+01,2.623713867489738116e-01,6.146496835300240859e-03,5.247427726731439535e+00
2.229999999999999982e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713883382378764e+00,4.885350110643291166e-01,-5.247427221397853003e+01,2.623713867327719385e-01,6.146496831857839113e-03,5.247427727564542899e+00
2.240000000000000213e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713887050015625e+00,4.885350133900513980e-01,-5.247427278983874999e+01,2.623713867176342140e-01,6.146496828902549454e-03,5.247427728278667658e+00
2.250000000000000000e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713889597282023e+00,4.885350154987814220e-01,-5.247427331127801153e+01,2.623713867035646907e-01,6.146496826374868265e-03,5.247427728888462539e+00
2.260000000000000231e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713891226653327e+00,4.885350174047951577e-01,-5.247427378199133585e+01,2.623713866905500458e-01,6.146496824221531728e-03,5.247427729407034391e+00
2.270000000000000018e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713892111076973e+00,4.885350191224172023e-01,-5.247427420565933431e+01,2.623713866785635784e-01,6.146496822394991073e-03,5.247427729846062761e+00
2.280000000000000249e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713892397675718e+00,4.885350206657891325e-01,-5.247427458589466198e+01,2.623713866675683737e-01,6.146496820852916446e-03,5.247427730215937558e+00
2.290000000000000036e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713892211049004e+00,4.885350220486905370e-01,-5.247427492620073508e+01,2.623713866575203002e-01,6.146496819557721591e-03,5.247427730525872747e+00
2.300000000000000266e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713891656210606e+00,4.885350232844045681e-01,-5.247427522994136950e+01,2.623713866483700086e-01,6.146496818476118902e-03,5.247427730784021804e+00
2.310000000000000053e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713890821195438e+00,4.885350243856199093e-01,-5.247427550031890320e+01,2.623713866400650407e-01,6.146496817578710019e-03,5.247427730997573647e+00
